Game,Result,Color,Opening,FirstMove
claudiomat_MisterBiggStuff_2013.12.31_23:00:14,0,white,Old Benoni Defense,d2d4
claudiomat_MisterBiggStuff_2013.12.31_23:00:14,1,black,--,c7c5
fuku_AlgeriaCZL_2013.12.31_23:00:40,1,white,Nimzowitsch Defense: Scandinavian Variation,e2e4
fuku_AlgeriaCZL_2013.12.31_23:00:40,0,black,Advance Variation,d7d5
jr2412_chrisstansell_2013.12.31_23:00:55,1,white,Sicilian Defense: Modern Variations,e2e4
jr2412_chrisstansell_2013.12.31_23:00:55,0,black,Main Line,c7c5
Romoda_mateurdu75_2013.12.31_23:00:26,0,white,Caro-Kann Defense: Advance Variation,e2e4
Romoda_mateurdu75_2013.12.31_23:00:26,1,black,Bayonet Attack,c7c6
reactor_a57036_2013.12.31_23:01:27,1,white,Modern Defense,e2e4
reactor_a57036_2013.12.31_23:01:27,0,black,--,g7g6
estet_5_uriel8_2013.12.31_23:00:39,1,white,Scandinavian Defense: Modern Variation #2,e2e4
estet_5_uriel8_2013.12.31_23:00:39,0,black,--,d7d5
MartinRM_Thor401025_2013.12.31_23:00:51,0,white,Indian Game: Normal Variation,d2d4
MartinRM_Thor401025_2013.12.31_23:00:51,1,black,--,g8f6
vinhasale_Lamotte_2013.12.31_23:00:18,1,white,Pirc Defense #4,e2e4
vinhasale_Lamotte_2013.12.31_23:00:18,0,black,--,d7d6
NUNKI_alejandrociro_2013.12.31_23:02:05,1,white,Scandinavian Defense: Mieses-Kotroc Variation,e2e4
NUNKI_alejandrociro_2013.12.31_23:02:05,0,black,--,d7d5
PILOTVE_soldier122_2013.12.31_23:02:03,1,white,Queen's Pawn Game: Krause Variation,g1f3
PILOTVE_soldier122_2013.12.31_23:02:03,0,black,--,d7d5
NIKOLADINCE_lerebo_2013.12.31_23:02:33,1,white,Bishop's Opening,e2e4
NIKOLADINCE_lerebo_2013.12.31_23:02:33,0,black,--,e7e5
Jian_riverrun_2013.12.31_23:02:22,0,white,French Defense: Knight Variation,e2e4
Jian_riverrun_2013.12.31_23:02:22,1,black,--,e7e6
tswifties_speedyG_2013.12.31_23:02:08,1,white,Old Benoni Defense,d2d4
tswifties_speedyG_2013.12.31_23:02:08,0,black,--,c7c5
tavo15_promiscuo_2013.12.31_23:02:17,1,white,Indian Game,d2d4
tavo15_promiscuo_2013.12.31_23:02:17,0,black,--,g8f6
Stepan9_Takashi06_2013.12.31_23:02:58,1,white,Philidor Defense #2,e2e4
Stepan9_Takashi06_2013.12.31_23:02:58,0,black,--,e7e5
hytrah_baclayonn_2013.12.31_23:01:56,1/2,white,King's Pawn Game: Damiano Defense,e2e4
hytrah_baclayonn_2013.12.31_23:01:56,1/2,black,--,e7e5
chessito_microcommega_2013.12.31_23:03:30,0,white,Saragossa Opening,c2c3
chessito_microcommega_2013.12.31_23:03:30,1,black,--,g8f6
bolovan_hsn_2013.12.31_23:03:33,1,white,Caro-Kann Defense: Advance Variation,d2d4
bolovan_hsn_2013.12.31_23:03:33,0,black,--,c7c6
cutthecrete_phil13_2013.12.31_23:03:34,0,white,Queen's Pawn Game #3,d2d4
cutthecrete_phil13_2013.12.31_23:03:34,1,black,--,d7d5
kerekeza26_PrawDuhJee_2013.12.31_23:03:57,0,white,Queen's Pawn Game: Zukertort Variation,g1f3
kerekeza26_PrawDuhJee_2013.12.31_23:03:57,1,black,--,d7d5
probni123_dfg4147_2013.12.31_23:04:16,0,white,King's Gambit Declined,e2e4
probni123_dfg4147_2013.12.31_23:04:16,1,black,Queen's Knight Defense,e7e5
muggi_ArmandoJR_2013.12.31_23:04:25,0,white,King's Pawn Game: Maroczy Defense,e2e4
muggi_ArmandoJR_2013.12.31_23:04:25,1,black,--,d7d6
VChess73_savinka59_2013.12.31_23:02:35,1,white,Tarrasch Defense: Symmetrical Variation,d2d4
VChess73_savinka59_2013.12.31_23:02:35,0,black,--,d7d5
MisterBiggStuff_Kiriush33_2013.12.31_23:02:26,1,white,Danish Gambit Accepted,e2e4
MisterBiggStuff_Kiriush33_2013.12.31_23:02:26,0,black,Schlechter Defense,e7e5
nafine1_kishomat_2013.12.31_23:01:29,1/2,white,French Defense: Knight Variation,e2e4
nafine1_kishomat_2013.12.31_23:01:29,1/2,black,--,e7e6
ivillamil_lovecaissa_2013.12.31_23:04:45,1,white,French Defense: Advance Variation,e2e4
ivillamil_lovecaissa_2013.12.31_23:04:45,0,black,--,e7e6
Zeffer_laursiss_2013.12.31_23:05:33,1,white,Zukertort Opening: Sicilian Invitation,g1f3
Zeffer_laursiss_2013.12.31_23:05:33,0,black,--,c7c5
Kiriush33_soldier122_2013.12.31_23:05:23,1,white,Sicilian Defense: Marshall Counterattack,e2e4
Kiriush33_soldier122_2013.12.31_23:05:23,0,black,--,c7c5
paul58_Rubajan_2013.12.31_23:05:29,1/2,white,King's Indian Defense: Zinnowitz Variation,g1f3
paul58_Rubajan_2013.12.31_23:05:29,1/2,black,--,g8f6
Romoda_YouKnowMe_2013.12.31_23:04:11,0,white,Sicilian Defense: Chekhover Variation,e2e4
Romoda_YouKnowMe_2013.12.31_23:04:11,1,black,--,c7c5
MisterBiggStuff_journal_2013.12.31_23:05:10,0,white,Bird Opening: From's Gambit,f2f4
MisterBiggStuff_journal_2013.12.31_23:05:10,1,black,--,e7e5
aleksandr561a_SteMitch_2013.12.31_23:06:04,1,white,Queen's Pawn Game,d2d4
aleksandr561a_SteMitch_2013.12.31_23:06:04,0,black,--,d7d5
chrisstansell_jr2412_2013.12.31_23:05:56,1,white,Philidor Defense #3,e2e4
chrisstansell_jr2412_2013.12.31_23:05:56,0,black,--,e7e5
miroslavm970_kraljpredvida_2013.12.31_23:06:17,0,white,Caro-Kann Defense,e2e4
miroslavm970_kraljpredvida_2013.12.31_23:06:17,1,black,--,c7c6
jrui_atiliotbo_2013.12.31_23:06:39,0,white,Philidor Defense #2,e2e4
jrui_atiliotbo_2013.12.31_23:06:39,1,black,--,e7e5
Pollini_NIKOLADINCE_2013.12.31_23:06:41,1,white,English Opening: Symmetrical Variation,c2c4
Pollini_NIKOLADINCE_2013.12.31_23:06:41,0,black,Normal Variation,c7c5
avhat_Teplov_2013.12.31_23:06:56,0,white,Queen's Pawn,d2d4
avhat_Teplov_2013.12.31_23:06:56,1,black,--,d7d6
yilmaz_GB-11_2013.12.31_23:06:56,1,white,Sicilian Defense,e2e4
yilmaz_GB-11_2013.12.31_23:06:56,0,black,--,c7c5
juozas_Vax_2013.12.31_23:06:52,0,white,Italian Game: Classical Variation,e2e4
juozas_Vax_2013.12.31_23:06:52,1,black,Giuoco Pianissimo,e7e5
ruilua_Elfen_2013.12.31_23:07:16,1,white,Nimzowitsch Defense: Scandinavian Variation,e2e4
ruilua_Elfen_2013.12.31_23:07:16,0,black,Advance Variation,d7d5
Andrius_Hallenk_2013.12.31_23:07:11,1,white,Queen's Pawn Game: Zukertort Variation,g1f3
Andrius_Hallenk_2013.12.31_23:07:11,0,black,--,d7d5
lalex1_Kosor_2013.12.31_23:08:09,1,white,Robatsch (Modern) Defense,e2e4
lalex1_Kosor_2013.12.31_23:08:09,0,black,--,g7g6
homemteca_PierreDaChello_2013.12.31_23:08:36,0,white,Three Knights Opening #2,e2e4
homemteca_PierreDaChello_2013.12.31_23:08:36,1,black,--,e7e5
fjroldan_branislav43_2013.12.31_23:07:22,0,white,Queen's Pawn Game: Levitsky Attack,d2d4
fjroldan_branislav43_2013.12.31_23:07:22,1,black,--,d7d5
Jian_VChess73_2013.12.31_23:09:00,0,white,French Defense: Knight Variation,e2e4
Jian_VChess73_2013.12.31_23:09:00,1,black,--,e7e6
chessito_microcommega_2013.12.31_23:09:18,0,white,Hungarian Opening,g2g3
chessito_microcommega_2013.12.31_23:09:18,1,black,--,e7e5
Yura_estet_5_2013.12.31_23:09:27,0,white,Reti Opening: Advance Variation,g1f3
Yura_estet_5_2013.12.31_23:09:27,1,black,--,d7d5
MisterBiggStuff_mateurdu75_2013.12.31_23:09:29,1,white,French Defense: Exchange Variation,e2e4
MisterBiggStuff_mateurdu75_2013.12.31_23:09:29,0,black,Monte Carlo Variation,e7e6
msda_TrollKilla_2013.12.31_23:09:34,1,white,Slav Defense: Three Knights Variation,d2d4
msda_TrollKilla_2013.12.31_23:09:34,0,black,--,d7d5
